BVTV,DA,ROI Number,Scan,m1,m2,m3,Variation Coefficient,Group,OI Type,S11,S12,S13,S21,S22,S23,S31,S32,S33,S44,S55,S66
0.217,2.278,5,C0002184_SEG_UNCOMP,0.62045,0.96598,1.41357,0.282296332688654,Control,,289.9168899397577,147.1364766014284,118.44637921325932,147.1364766014284,764.8630650876023,233.1786301414953,118.44637921325932,233.1786301414953,1400.776017937439,347.97313345844833,156.76258332066126,148.53342835075784
0.1811,2.3890000000000002,6,C0002184_SEG_UNCOMP,0.61469,0.9168299999999999,1.46848,0.2734352735764386,Control,,181.59771373089578,103.27326980257344,86.89309425721977,103.27326980257344,491.16209403513494,163.07803299063949,86.89309425721977,163.07803299063949,1168.7674238555323,245.27997444346326,116.16445329296336,99.7579465229995
0.301,2.333,1,C0001982_SEG_UNCOMP,0.65513,0.8163199999999999,1.52855,0.15939196531395458,Control,,712.4002016118259,274.23637304418344,277.1097326976824,274.23637304418344,985.8834885511112,363.9190380057385,277.1097326976824,363.9190380057385,2379.9216383346334,503.709643637212,357.60011756330584,258.2282547331749
0.2128,2.148,2,C0001982_SEG_UNCOMP,0.6631,0.91284,1.42406,0.0623086767741702,Control,,328.9195958425037,146.82170943356135,125.97664435178456,146.82170943356135,526.3898867472071,185.33938073587652,125.97664435178456,185.33938073587652,1389.7870272236405,261.03873656373503,156.08374971547175,137.46221548342697
0.3485,2.076,3,C0001982_SEG_UNCOMP,0.70077,0.8446100000000001,1.4546299999999999,0.11825876828435734,Control,,914.5065006785372,369.865125116316,367.918919476979,369.865125116316,1300.0702707433484,448.4503449171177,367.91891947697866,448.4503449171177,2688.089104274803,574.8793249544641,464.59437397953116,350.9787436398144
0.1923,1.768,4,C0001982_SEG_UNCOMP,0.76625,0.87902,1.35473,0.09820744920535614,Control,,306.7719857949961,121.52433697268695,137.13942700227514,121.52433697268695,442.4412451778329,170.28603538235407,137.13942700227514,170.28603538235407,1009.3365745418818,215.12672825603673,155.30497505336538,110.55626478583292
0.1761,1.9469999999999998,5,C0001982_SEG_UNCOMP,0.72153,0.8734700000000001,1.405,0.10202689930468636,Control,,244.31480959222674,106.13669327396997,101.0166736268713,106.13669327396997,348.8655396768311,142.00508307555612,101.0166736268713,142.00508307555612,953.8168602860886,206.51857474301434,128.88243315592663,101.44088278790163
0.2152,1.827,6,C0001982_SEG_UNCOMP,0.74244,0.9013200000000001,1.35624,0.09214380368874664,Control,,363.7213656216582,156.98554697076364,164.3829549154358,156.98554697076364,672.8857414555476,230.9125808694513,164.38295491543565,230.9125808694513,1267.794430520624,299.3654792555731,197.34983218167542,147.73518426826035
0.1918,1.923,1,C0001534_SEG_UNCOMP,0.7348100000000001,0.85234,1.41285,0.18552121924867387,Control,,220.15716973276088,77.35368225113751,86.06492604443919,77.35368225113751,336.9373240192675,101.87168684955857,86.06492604443919,101.87168684955857,968.9255829372945,155.35795583044535,131.87626003450893,92.87537913061347
0.14,1.973,2,C0001534_SEG_UNCOMP,0.68545,0.96242,1.35212,0.4018529965692317,Control,,106.71251818003411,33.78338622184451,40.521326307021184,33.78338622184451,255.5750065278287,78.12572375457945,40.521326307021184,78.12572375457945,527.2980189066311,126.67617346229343,68.8179884190354,45.0245911800713
0.1739,1.7280000000000002,3,C0001534_SEG_UNCOMP,0.73895,0.98439,1.2766600000000001,0.26583838321620445,Control,,133.4123576032231,40.01628959965704,54.01341340827974,40.01628959965704,234.4677147876168,83.01048616943078,54.01341340827974,83.01048616943078,820.6639287884677,138.4245007121365,85.89699336978244,62.7522437209313
0.3438,2.045,4,C0001534_SEG_UNCOMP,0.68148,0.92456,1.39395,0.1918183289433155,Control,,710.5824146726866,302.88147054355665,300.04611979846726,302.88147054355665,1378.365178773447,441.98489242920004,300.04611979846726,441.98489242920004,2435.551214502219,608.5995749259756,382.53184416043234,324.282013826734
0.1578,1.8780000000000001,5,C0001534_SEG_UNCOMP,0.71201,0.95065,1.33733,0.18271100580253846,Control,,111.53113812903618,53.29760395824026,42.44390967951608,53.29760395824023,219.5958385419546,73.287815579047,42.44390967951608,73.287815579047,631.9690450878539,127.5226138105356,68.56601962603487,71.05436755292257
0.2915,2.095,6,C0001534_SEG_UNCOMP,0.6688,0.92976,1.40144,0.2498262504857449,Control,,444.627387300357,220.70450110023066,202.70263669338783,220.70450110023066,962.3391830871041,324.90097822118497,202.70263669338783,324.90097822118497,1948.483849862576,469.3910576895566,285.1248856535699,244.1427922194372
0.2818,1.7619999999999998,1,C0001585_SEG_UNCOMP,0.7711100000000001,0.87003,1.35886,0.16203470670554135,Control,,730.9687548483348,258.85288481167066,270.87925477794954,258.85288481167066,1010.2721393259822,301.16806100414004,270.87925477794954,301.16806100414004,2035.7609278595028,398.069908114492,339.6652826882968,275.3422709129551
0.1937,2.18,2,C0001585_SEG_UNCOMP,0.65051,0.9315399999999999,1.41795,0.14901693994890175,Control,,318.604631037277,146.8398862968616,123.18374950525389,146.8398862968616,554.4409593273941,207.87583558665898,123.18374950525389,207.87583558665898,1225.8717596194456,309.23505686796227,148.86717028481488,128.17640190409642
